isoform	rows	positives	negatives	positive_prevalence	pooled_chemical_kNN_AP	isoform_specific_kNN_AP	paired_AP_difference
CYP1A2	370	136	234	0.3675675675675676	0.5342996465927252	0.6600505713842293	0.12575092479150407
CYP2C19	366	99	267	0.27049180327868855	0.3245925454395424	0.37634289925016634	0.05175035381062393
CYP2C9	549	123	426	0.22404371584699453	0.2442795300157306	0.36275750615112895	0.11847797613539834
CYP2D6	583	175	408	0.30017152658662094	0.4134485490327462	0.5376429016602238	0.12419435262747758
CYP2E1	315	88	227	0.27936507936507937	0.21541544163842535	0.5169578167181929	0.3015423750797675
CYP3A4	852	607	245	0.7124413145539906	0.7337930303564508	0.8035289490057811	0.06973591864933026
