protein_group	query_panels	unique_queries	joint_global_interaction_MRR	global_residual_MRR	paired_difference
70927410cebe7bb33453afe63c3fae8782126b96d98b621baaa0acd902a27e30	6	3	0.4791742770167427	0.42079760117584025	0.05837667584090245
78572fed7aac2be4c25cf674dd824172143a9f7f78e1966cece83ec139e994f7	25	10	0.03515435236640728	0.03679740434215807	-0.0016430519757507922
9e531b02da59435cd98a4bfc7bb453dc85cb784101303b74bdcac0ebf554e132	22	6	0.20096381705136834	0.1687375231943543	0.03222629385701403
d798508c370fef6a7323a88845fdb6348ee20f2448419035ce457c39fd94c8a4	13	5	0.20303881693716633	0.2379284885254019	-0.03488967158823558
