method	target_coverage	actual_macro_coverage	macro_precision	macro_selective_risk	macro_positive_recall	isoform_specific_minus_pooled_precision	comparison_ci_low	comparison_ci_high
pooled_chemical_knn	1.0	1.0	0.3590135011998236	0.6409864988001764	1.0	0.0	0.0	0.0
pooled_chemical_knn	0.75	0.7511400411261221	0.3828897102301722	0.6171102897698277	0.8043222428870559	0.02252253362218337	0.013415963517290245	0.032111407220433374
pooled_chemical_knn	0.5	0.500559280222132	0.3876122547536392	0.6123877452463609	0.5424508360507428	0.06851158443229799	0.047310387029640584	0.0905129255598439
pooled_chemical_knn	0.25	0.2508843431747855	0.38332917381476966	0.6166708261852303	0.26426362294656985	0.160931224081254	0.12574931302417183	0.19785515729918013
pooled_chemical_knn	0.1	0.10083366672785649	0.40427688837474024	0.5957231116252598	0.11358859153409344	0.2642415711838258	0.20067775916050207	0.3274775231110709
isoform_specific_knn	1.0	1.0	0.3590135011998236	0.6409864988001764	1.0	0.0	0.0	0.0
isoform_specific_knn	0.75	0.7511400411261221	0.4054122438523556	0.5945877561476444	0.8526798003557013	0.02252253362218337	0.013415963517290245	0.032111407220433374
isoform_specific_knn	0.5	0.500559280222132	0.4561238391859372	0.5438761608140629	0.6490529311152056	0.06851158443229799	0.047310387029640584	0.0905129255598439
isoform_specific_knn	0.25	0.2508843431747855	0.5442603978960237	0.4557396021039764	0.40120307741419875	0.160931224081254	0.12574931302417183	0.19785515729918013
isoform_specific_knn	0.1	0.10083366672785649	0.668518459558566	0.331481540441434	0.20319902636770767	0.2642415711838258	0.20067775916050207	0.3274775231110709
