case	reported_label	isoform	compound_inchikey	names	canonical_smiles	source_locators	isoform_labels	specific_rank	pooled_rank	interpretation	specific_score	specific_mean_support_label	specific_maximum_tanimoto	pooled_score	pooled_mean_support_label	pooled_maximum_tanimoto
1	1	CYP2D6	IQXXEPZFOOTTBA-UHFFFAOYSA-N	benzylpiperazine	c1ccc(CN2CCNCC2)cc1	"[{""file"": ""CYP2D6_trainingset.csv"", ""split"": ""training"", ""row"": 303, ""source"": ""Yamashita"", ""name"": ""benzylpiperazine""}]"	583	39	148	reported-positive enrichment	0.6941090075293297	0.68	0.3611111044883728	0.36680285888504444	0.36955337690631807	0.3611111044883728
2	0	CYP2E1	VQKLRVZQQYVIJW-UHFFFAOYSA-N	dihydralazine	NN=c1[nH][nH]c(=NN)c2ccccc12	"[{""file"": ""CYP2E1_trainingset.csv"", ""split"": ""training"", ""row"": 428, ""source"": ""Yamashita"", ""name"": ""dihydralazine""}]"	315	4	50	high-ranked reported-negative disagreement	0.6540906184695351	0.64	0.30434781312942505	0.38056135092063514	0.36598194833488956	0.30434781312942505
