isoform	labels	positives	prevalence	exact_random_order_AP	pooled_AP	specific_AP	logistic_AP
CYP1A2	370	136	0.3675675675675676	0.37698047493358894	0.5342996465927251	0.6600505713842292	0.6660420980833108
CYP2C19	366	99	0.27049180327868855	0.28144684684891114	0.3245925454395424	0.37634289925016634	0.34936597771197164
CYP2C9	549	123	0.22404371584699453	0.23237848400439404	0.2442795300157306	0.3627575061511289	0.32225900394326107
CYP2D6	583	175	0.30017152658662094	0.3073216335034302	0.41344854903274614	0.5376429016602238	0.5058232319975734
CYP2E1	315	88	0.27936507936507937	0.2916006679988112	0.21541544163842533	0.5169578167181927	0.5454851084264278
CYP3A4	852	607	0.7124413145539906	0.7145787064764886	0.7337930303564508	0.8035289490057811	0.8156450337504031
MACRO	3035	1228	0.3590135011998236	0.3673844689609374	0.41097145717927014	0.5428801073616204	0.5341034089854914
