case	method	rank	compound_inchikey	canonical_smiles	tanimoto	support_label	queried_isoform_label	available_labels	normalized_weight	weighted_contribution	source_locators
2	pooled	7	KIVUHCNVDWYUNP-UHFFFAOYSA-N	Nc1cc2c3ccccc3ccc2c2ccccc12	0.25	0.5555555555555556	0	"{""CYP1A2"": 1, ""CYP2A6"": 1, ""CYP2B6"": 1, ""CYP2C19"": 0, ""CYP2C8"": 0, ""CYP2C9"": 0, ""CYP2D6"": 1, ""CYP2E1"": 0, ""CYP3A4"": 1}"	0.023666903527325638	0.013148279737403132	"{""CYP1A2"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""1A2 train"", ""row"": 328}], ""CYP2A6"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2A6 train"", ""row"": 303}], ""CYP2B6"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2B6 train"", ""row"": 310}], ""CYP2C19"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2C19 train"", ""row"": 320}], ""CYP2C8"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2C8 train"", ""row"": 320}], ""CYP2C9"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2C9 train"", ""row"": 315}], ""CYP2D6"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2D6 train"", ""row"": 320}], ""CYP2E1"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2E1 train"", ""row"": 330}], ""CYP3A4"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""3A4 train"", ""row"": 323}]}"
2	pooled	8	UBQNRHZMVUUOMG-UHFFFAOYSA-N	NS(=O)(=O)Cc1noc2ccccc12	0.2432432472705841	0.2222222222222222	0	"{""CYP1A2"": 0, ""CYP2A6"": 0, ""CYP2B6"": 0, ""CYP2C19"": 1, ""CYP2C8"": 0, ""CYP2C9"": 0, ""CYP2D6"": 0, ""CYP2E1"": 0, ""CYP3A4"": 1}"	0.023027257867305317	0.005117168414956737	"{""CYP1A2"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""1A2 train"", ""row"": 1378}], ""CYP2A6"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2A6 train"", ""row"": 1371}], ""CYP2B6"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2B6 train"", ""row"": 1367}], ""CYP2C19"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2C19 train"", ""row"": 1378}], ""CYP2C8"": [{""member"": ""Supplementary Material-1.xls"", ""sheet"": ""2C8 test"", ""row"": 344}], ""CYP2C9"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2C9 train"", ""row"": 1377}], ""CYP2D6"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2D6 train"", ""row"": 1383}], ""CYP2E1"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2E1 train"", ""row"": 1369}], ""CYP3A4"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""3A4 train"", ""row"": 1406}]}"
2	pooled	9	JNTHRSHGARDABO-UHFFFAOYSA-N	c1ccc2c(c1)cc1ccc3cccc4c5ccccc5c2c1c34	0.24242424964904785	0.8888888888888888	1	"{""CYP1A2"": 1, ""CYP2A6"": 1, ""CYP2B6"": 1, ""CYP2C19"": 0, ""CYP2C8"": 1, ""CYP2C9"": 1, ""CYP2D6"": 1, ""CYP2E1"": 1, ""CYP3A4"": 1}"	0.022949725316513285	0.020399755836900697	"{""CYP1A2"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""1A2 train"", ""row"": 704}], ""CYP2A6"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2A6 train"", ""row"": 682}], ""CYP2B6"": [{""member"": ""Supplementary Material-1.xls"", ""sheet"": ""2B6 test"", ""row"": 180}], ""CYP2C19"": [{""member"": ""Supplementary Material-1.xls"", ""sheet"": ""2C19 test"", ""row"": 176}], ""CYP2C8"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2C8 train"", ""row"": 676}], ""CYP2C9"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2C9 train"", ""row"": 688}], ""CYP2D6"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2D6 train"", ""row"": 695}], ""CYP2E1"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2E1 train"", ""row"": 704}], ""CYP3A4"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""3A4 train"", ""row"": 707}]}"
2	pooled	10	UFWIBTONFRDIAS-UHFFFAOYSA-N	c1ccc2ccccc2c1	0.2380952388048172	0.1111111111111111	0	"{""CYP1A2"": 0, ""CYP2A6"": 0, ""CYP2B6"": 0, ""CYP2C19"": 0, ""CYP2C8"": 0, ""CYP2C9"": 0, ""CYP2D6"": 0, ""CYP2E1"": 0, ""CYP3A4"": 1}"	0.022539908188436673	0.0025044342431596303	"{""CYP1A2"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""1A2 train"", ""row"": 1069}], ""CYP2A6"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2A6 train"", ""row"": 1050}], ""CYP2B6"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2B6 train"", ""row"": 1039}], ""CYP2C19"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2C19 train"", ""row"": 1054}], ""CYP2C8"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2C8 train"", ""row"": 1048}], ""CYP2C9"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2C9 train"", ""row"": 1054}], ""CYP2D6"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2D6 train"", ""row"": 1067}], ""CYP2E1"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2E1 train"", ""row"": 1049}], ""CYP3A4"": [{""member"": ""Supplementary Material-1.xls"", ""sheet"": ""3A4 test"", ""row"": 270}]}"
2	pooled	11	PPBRXRYQALVLMV-UHFFFAOYSA-N	C=Cc1ccccc1	0.23076923191547394	0.8888888888888888	1	"{""CYP1A2"": 1, ""CYP2A6"": 1, ""CYP2B6"": 1, ""CYP2C19"": 0, ""CYP2C8"": 1, ""CYP2C9"": 1, ""CYP2D6"": 1, ""CYP2E1"": 1, ""CYP3A4"": 1}"	0.021846372595274232	0.019418997862465984	"{""CYP1A2"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""1A2 train"", ""row"": 1254}], ""CYP2A6"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2A6 train"", ""row"": 1251}], ""CYP2B6"": [{""member"": ""Supplementary Material-1.xls"", ""sheet"": ""2B6 test"", ""row"": 317}], ""CYP2C19"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2C19 train"", ""row"": 1258}], ""CYP2C8"": [{""member"": ""Supplementary Material-1.xls"", ""sheet"": ""2C8 test"", ""row"": 319}], ""CYP2C9"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2C9 train"", ""row"": 1253}], ""CYP2D6"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2D6 train"", ""row"": 1258}], ""CYP2E1"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2E1 train"", ""row"": 1250}], ""CYP3A4"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""3A4 train"", ""row"": 1281}]}"
2	pooled	12	YZVWKHVRBDQPMQ-UHFFFAOYSA-N	Nc1ccc2ccc3cccc4ccc1c2c34	0.22580644488334656	1.0		"{""CYP1A2"": 1, ""CYP3A4"": 1}"	0.021376557387610146	0.021376557387610146	"{""CYP1A2"": [{""member"": ""Supplementary Material-1.xls"", ""sheet"": ""1A2 test"", ""row"": 34}], ""CYP3A4"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""3A4 train"", ""row"": 112}]}"
2	pooled	13	SQAINHDHICKHLX-UHFFFAOYSA-N	O=Cc1cccc2ccccc12	0.22580644488334656	1.0		"{""CYP3A4"": 1}"	0.021376557387610146	0.021376557387610146	"{""CYP3A4"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""3A4 train"", ""row"": 114}]}"
2	pooled	14	ANUCHZVCBDOPOX-UHFFFAOYSA-N	c1ccc2c(c1)ccc1nc3ccc4ccccc4c3cc12	0.22580644488334656	0.2222222222222222	0	"{""CYP1A2"": 1, ""CYP2A6"": 0, ""CYP2B6"": 0, ""CYP2C19"": 0, ""CYP2C8"": 0, ""CYP2C9"": 0, ""CYP2D6"": 0, ""CYP2E1"": 0, ""CYP3A4"": 1}"	0.021376557387610146	0.004750346086135588	"{""CYP1A2"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""1A2 train"", ""row"": 676}], ""CYP2A6"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2A6 train"", ""row"": 655}], ""CYP2B6"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2B6 train"", ""row"": 649}], ""CYP2C19"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2C19 train"", ""row"": 667}], ""CYP2C8"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2C8 train"", ""row"": 647}], ""CYP2C9"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2C9 train"", ""row"": 661}], ""CYP2D6"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2D6 train"", ""row"": 666}], ""CYP2E1"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2E1 train"", ""row"": 674}], ""CYP3A4"": [{""member"": ""Supplementary Material-1.xls"", ""sheet"": ""3A4 test"", ""row"": 168}]}"
2	pooled	15	DMVOXQPQNTYEKQ-UHFFFAOYSA-N	Nc1ccc(-c2ccccc2)cc1	0.2222222238779068	0.1111111111111111	0	"{""CYP1A2"": 1, ""CYP2A6"": 0, ""CYP2B6"": 0, ""CYP2C19"": 0, ""CYP2C8"": 0, ""CYP2C9"": 0, ""CYP2D6"": 0, ""CYP2E1"": 0, ""CYP3A4"": 0}"	0.02103724773658472	0.0023374719707316355	"{""CYP1A2"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""1A2 train"", ""row"": 283}], ""CYP2A6"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2A6 train"", ""row"": 262}], ""CYP2B6"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2B6 train"", ""row"": 273}], ""CYP2C19"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2C19 train"", ""row"": 282}], ""CYP2C8"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2C8 train"", ""row"": 278}], ""CYP2C9"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2C9 train"", ""row"": 274}], ""CYP2D6"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2D6 train"", ""row"": 274}], ""CYP2E1"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2E1 train"", ""row"": 290}], ""CYP3A4"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""3A4 train"", ""row"": 282}]}"
2	pooled	16	RFFLAFLAYFXFSW-UHFFFAOYSA-N	Clc1ccccc1Cl	0.21739129722118378	0.3333333333333333	1	"{""CYP1A2"": 1, ""CYP2A6"": 0, ""CYP2B6"": 0, ""CYP2C19"": 0, ""CYP2C8"": 0, ""CYP2C9"": 0, ""CYP2D6"": 0, ""CYP2E1"": 1, ""CYP3A4"": 1}"	0.020579915436055723	0.006859971812018574	"{""CYP1A2"": [{""member"": ""Supplementary Material-1.xls"", ""sheet"": ""1A2 test"", ""row"": 271}], ""CYP2A6"": [{""member"": ""Supplementary Material-1.xls"", ""sheet"": ""2A6 test"", ""row"": 275}], ""CYP2B6"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2B6 train"", ""row"": 1091}], ""CYP2C19"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2C19 train"", ""row"": 1110}], ""CYP2C8"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2C8 train"", ""row"": 1098}], ""CYP2C9"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2C9 train"", ""row"": 1104}], ""CYP2D6"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2D6 train"", ""row"": 1118}], ""CYP2E1"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""2E1 train"", ""row"": 1099}], ""CYP3A4"": [{""member"": ""Supplementary Material-2.xls"", ""sheet"": ""3A4 train"", ""row"": 1120}]}"
