source	source_assertions	admitted_assertions	unique_sequence_link_available	linked_sequence_has_PF00067	has_recorded_publication	complete_component_set_parseable	exact_component_set_edge_matches_initial_core
P450Rdb	3821	1888	1.0	0.5613713687516357	0.8602460088981941	0.9583878565820466	0.5030096833289714
SABIO_RK	5191	0	0.9872856867655557	0.9056058562897322	1.0	0.0	0.0
SwissProt	3809	1245	1.0	0.9902861643475978	0.4736151220792859	0.7427146232606984	0.008663691257547913
UniProt_API	3963	1245	1.0	0.9518041887458996	0.4610143830431491	0.7138531415594247	0.008327024981074944
