comparison	task	left_method	right_method	query_panels	protein_groups	mrr_difference	ci_low	ci_high
global_conditional_minus_chemical_prior	chemical_cold_all	esm_conditional_learned	conditional_chemistry_prior	772	145	0.007648128834203126	0.004167736452589676	0.011953970999136893
global_conditional_minus_chemical_prior	protein_cold_all	esm_conditional_learned	conditional_chemistry_prior	600	145	0.0038212905610204686	-0.0028055112688895037	0.010196385041230388
global_conditional_minus_chemical_prior	double_cold_all	esm_conditional_learned	conditional_chemistry_prior	772	145	0.0014121272717085836	0.0003521315706321872	0.0028973303766758225
interaction_minus_global	chemical_cold_all	joint_global_interaction	global_residual	356	48	0.00044435288104783003	8.264486313979849e-05	0.000853494500037665
interaction_minus_global	protein_cold_all	joint_global_interaction	global_residual	289	48	-0.007512073997929498	-0.02513448804852439	0.004169771833590532
interaction_minus_global	double_cold_all	joint_global_interaction	global_residual	356	48	-0.00038979645761227596	-0.0013686625688294092	0.00013463143061877045
ordered_sites_minus_global	chemical_cold_all	ordered_residual	global_residual	356	48	-0.002109573674518508	-0.003853818162088936	-0.0006920185747887822
ordered_sites_minus_global	protein_cold_all	ordered_residual	global_residual	289	48	-0.015977051794264348	-0.043043477982267514	0.00030275674817852505
ordered_sites_minus_global	double_cold_all	ordered_residual	global_residual	356	48	-0.0007233430159029459	-0.0023716565483368427	0.0002748904621397169
