isoform	development_rows	development_positives	selected_C	selected_class_weight	mean_five_fold_development_AP	strict_external_rows	strict_external_AP	production_isoform_specific_kNN_AP	logistic_minus_kNN_AP	analysis_status
CYP1A2	1662	295	0.1	balanced	0.5631339112552843	370	0.6660420980833108	0.6600505713842293	0.00599152669908154	post_hoc_supplementary_baseline_after_external_labels_were_opened
CYP2C19	1661	241	0.1	balanced	0.5403381896591308	366	0.3493659777119716	0.37634289925016634	-0.026976921538194754	post_hoc_supplementary_baseline_after_external_labels_were_opened
CYP2C9	1661	253	0.1	balanced	0.5199477966996777	549	0.32225900394326107	0.36275750615112895	-0.04049850220786788	post_hoc_supplementary_baseline_after_external_labels_were_opened
CYP2D6	1667	303	0.1	none	0.7046546947897699	583	0.5058232319975734	0.5376429016602238	-0.031819669662650374	post_hoc_supplementary_baseline_after_external_labels_were_opened
CYP2E1	1651	156	0.1	none	0.42979479181679875	315	0.545485108426428	0.5169578167181929	0.028527291708235092	post_hoc_supplementary_baseline_after_external_labels_were_opened
CYP3A4	1697	519	0.1	none	0.7773445399509828	852	0.8156450337504031	0.8035289490057811	0.012116084744622002	post_hoc_supplementary_baseline_after_external_labels_were_opened
MACRO					0.589202320695274	3035	0.5341034089854914	0.5428801073616204	-0.008776698376129063	post_hoc_supplementary_baseline_after_external_labels_were_opened
