dataset	compound_inchikey	canonical_smiles	parent_status	parent_smiles	parent_key	parent_formula
external	ITRJWOMZKQRYTA-UHFFFAOYSA-N	CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C	ok	CC(=O)OCC(=O)C1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3C(=O)CC21C	SLEIAHSDXRGERW-UHFFFAOYSA-N	C23H30O6
external	ITTILXNWLDHOGR-UHFFFAOYSA-N	CC1OC(OC2C(O)C(C(=O)O)OC(OC3CCC4(C)C(CCC5(C)C4CC=C4C6CC(C)(C)CCC6(C(=O)OC6OC(C)C(O)C(O)C6OC6OC(C)C(OC7OCC(O)C(O)C7O)C(OC7OC(CO)C(O)C(OC8OCC(O)C(O)C8O)C7O)C6O)CCC45C)C3(C)C=O)C2OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O	ok	CC1OC(OC2C(O)C(C(=O)O)OC(OC3CCC4(C)C(CCC5(C)C4CC=C4C6CC(C)(C)CCC6(C(=O)OC6OC(C)C(O)C(O)C6OC6OC(C)C(OC7OCC(O)C(O)C7O)C(OC7OC(CO)C(O)C(OC8OCC(O)C(O)C8O)C7O)C6O)CCC45C)C3(C)C=O)C2OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O	ITTILXNWLDHOGR-UHFFFAOYSA-N	C76H120O40
external	IUBSYMUCCVWXPE-UHFFFAOYSA-N	COCCc1ccc(OCC(O)CNC(C)C)cc1	ok	COCCc1ccc(OCC(O)CNC(C)C)cc1	IUBSYMUCCVWXPE-UHFFFAOYSA-N	C15H25NO3
external	IUGDILGOLSSKNE-UHFFFAOYSA-N	Oc1ccc(C(c2ccc(O)cc2)C(Cl)(Cl)Cl)cc1	ok	Oc1ccc(C(c2ccc(O)cc2)C(Cl)(Cl)Cl)cc1	IUGDILGOLSSKNE-UHFFFAOYSA-N	C14H11Cl3O2
external	IUJDSEJGGMCXSG-UHFFFAOYSA-N	CCCC(C)C1(CC)C(O)=NC(=S)N=C1O	ok	CCCC(C)C1(CC)C(=O)NC(=S)NC1=O	IUJDSEJGGMCXSG-UHFFFAOYSA-N	C11H18N2O2S
external	IVBHGBMCVLDMKU-UHFFFAOYSA-N	CCN1CCN(C(O)=NC(C(O)=NC2C(=O)N3C2SC(C)(C)C3C(=O)O)c2ccccc2)C(=O)C1=O	ok	CCN1CCN(C(=O)NC(C(=O)NC2C(=O)N3C2SC(C)(C)C3C(=O)O)c2ccccc2)C(=O)C1=O	IVBHGBMCVLDMKU-UHFFFAOYSA-N	C23H27N5O7S
external	IVBOBIWEQHPIEN-UHFFFAOYSA-N	CCCCCCCCCCCCCC=CC(O)C(COC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(OC4OC(CO)C(O)C(OC5(C(=O)O)CC(O)C(N=C(C)O)C(C(O)C(O)CO)O5)C4O)C3CC(C)=O)C(OC3(C(=O)O)CC(O)C(N=C(C)O)C(C(O)C(CO)OC4(C(=O)O)CC(O)C(N=C(C)O)C(C(O)C(O)CO)O4)O3)C2O)C(O)C1O)N=C(O)CCCCCCCCCCCCCCCCCCCCC	ok	CCCCCCCCCCCCCC=CC(O)C(COC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(OC4OC(CO)C(O)C(OC5(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(O)CO)O5)C4O)C3CC(C)=O)C(OC3(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(CO)OC4(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(O)CO)O4)O3)C2O)C(O)C1O)NC(=O)CCCCCCCCCCCCCCCCCCCCC	IVBOBIWEQHPIEN-UHFFFAOYSA-N	C100H174N4O47
external	IVFSOOIWIYPDLX-UHFFFAOYSA-N	CN(C)c1ccc2cc(C=O)ccc2c1	ok	CN(C)c1ccc2cc(C=O)ccc2c1	IVFSOOIWIYPDLX-UHFFFAOYSA-N	C13H13NO
external	IVLCGFRPPGNALI-UHFFFAOYSA-N	Cc1cc2c([nH]c1=N)[nH]c1ccccc12	ok	Cc1cc2c(nc1N)[nH]c1ccccc12	IVLCGFRPPGNALI-UHFFFAOYSA-N	C12H11N3
external	IVSZLXZYQVIEFR-UHFFFAOYSA-N	Cc1cccc(C)c1	ok	Cc1cccc(C)c1	IVSZLXZYQVIEFR-UHFFFAOYSA-N	C8H10
