query	panel	group	method	domain	candidates	positives	deterministic_RR	tie_averaged_RR	conditional_defined
0c00617a6a477efed427a158b4ef2152ac2c9e85663b469c144e34b49e968f0d	protein_cold:p1:cNone	e38e4fc4997a125c2a363d841252db4a19f7089da43d81f62af933613f076111	mmseqs_top1	common	0	0	0.0	0.0	False
0c00617a6a477efed427a158b4ef2152ac2c9e85663b469c144e34b49e968f0d	protein_cold:p1:cNone	e38e4fc4997a125c2a363d841252db4a19f7089da43d81f62af933613f076111	esm_cosine_top1	common	0	0	0.0	0.0	False
206ce4143020fdad1faa2a32893dce6b14d7a711ca5edeb64d89090a587c97ca	protein_cold:p1:cNone	2133973704a2820f7ab655a1f449f0e1a0e34aeecc3b5f930fa63a0390512be3	mmseqs_top1	own	52	0	0.0	0.0	False
206ce4143020fdad1faa2a32893dce6b14d7a711ca5edeb64d89090a587c97ca	protein_cold:p1:cNone	2133973704a2820f7ab655a1f449f0e1a0e34aeecc3b5f930fa63a0390512be3	esm_cosine_top1	own	2	0	0.0	0.0	False
206ce4143020fdad1faa2a32893dce6b14d7a711ca5edeb64d89090a587c97ca	protein_cold:p1:cNone	2133973704a2820f7ab655a1f449f0e1a0e34aeecc3b5f930fa63a0390512be3	mmseqs_top1	common	0	0	0.0	0.0	False
206ce4143020fdad1faa2a32893dce6b14d7a711ca5edeb64d89090a587c97ca	protein_cold:p1:cNone	2133973704a2820f7ab655a1f449f0e1a0e34aeecc3b5f930fa63a0390512be3	esm_cosine_top1	common	0	0	0.0	0.0	False
223bf6426d9ad4fccd858bc2988b9ec441020f239760a0e13758c1f2e3dfc124	protein_cold:p1:cNone	f921087ef8feda0364766a3a76b8204c58dba949e0cccf29fa1b52449e2d23e8	mmseqs_top1	own	1	0	0.0	0.0	False
223bf6426d9ad4fccd858bc2988b9ec441020f239760a0e13758c1f2e3dfc124	protein_cold:p1:cNone	f921087ef8feda0364766a3a76b8204c58dba949e0cccf29fa1b52449e2d23e8	esm_cosine_top1	own	10	0	0.0	0.0	False
223bf6426d9ad4fccd858bc2988b9ec441020f239760a0e13758c1f2e3dfc124	protein_cold:p1:cNone	f921087ef8feda0364766a3a76b8204c58dba949e0cccf29fa1b52449e2d23e8	mmseqs_top1	common	0	0	0.0	0.0	False
223bf6426d9ad4fccd858bc2988b9ec441020f239760a0e13758c1f2e3dfc124	protein_cold:p1:cNone	f921087ef8feda0364766a3a76b8204c58dba949e0cccf29fa1b52449e2d23e8	esm_cosine_top1	common	0	0	0.0	0.0	False
2527e74d770f31ba23b27e94f47140ab3b881c5f75f5f675cd15269c21c43def	protein_cold:p1:cNone	2133973704a2820f7ab655a1f449f0e1a0e34aeecc3b5f930fa63a0390512be3	mmseqs_top1	own	52	0	0.0	0.0	False
2527e74d770f31ba23b27e94f47140ab3b881c5f75f5f675cd15269c21c43def	protein_cold:p1:cNone	2133973704a2820f7ab655a1f449f0e1a0e34aeecc3b5f930fa63a0390512be3	esm_cosine_top1	own	2	0	0.0	0.0	False
2527e74d770f31ba23b27e94f47140ab3b881c5f75f5f675cd15269c21c43def	protein_cold:p1:cNone	2133973704a2820f7ab655a1f449f0e1a0e34aeecc3b5f930fa63a0390512be3	mmseqs_top1	common	0	0	0.0	0.0	False
2527e74d770f31ba23b27e94f47140ab3b881c5f75f5f675cd15269c21c43def	protein_cold:p1:cNone	2133973704a2820f7ab655a1f449f0e1a0e34aeecc3b5f930fa63a0390512be3	esm_cosine_top1	common	0	0	0.0	0.0	False
29f6146e62fd3b9d389f772f230db1234465152abdbf6154f97ddfec8c87a3ab	protein_cold:p1:cNone	bfb84897adf63058ca583a09b506f81f0661298bffeb9fb262b62124a5591704	mmseqs_top1	own	15	0	0.0	0.0	False
29f6146e62fd3b9d389f772f230db1234465152abdbf6154f97ddfec8c87a3ab	protein_cold:p1:cNone	bfb84897adf63058ca583a09b506f81f0661298bffeb9fb262b62124a5591704	esm_cosine_top1	own	2	0	0.0	0.0	False
29f6146e62fd3b9d389f772f230db1234465152abdbf6154f97ddfec8c87a3ab	protein_cold:p1:cNone	bfb84897adf63058ca583a09b506f81f0661298bffeb9fb262b62124a5591704	mmseqs_top1	common	0	0	0.0	0.0	False
29f6146e62fd3b9d389f772f230db1234465152abdbf6154f97ddfec8c87a3ab	protein_cold:p1:cNone	bfb84897adf63058ca583a09b506f81f0661298bffeb9fb262b62124a5591704	esm_cosine_top1	common	0	0	0.0	0.0	False
3399fde55e26adcb6b20654d7e659129b2ede55a45b994ec6915d7777834de81	protein_cold:p1:cNone	d401bac618e9e107f3a7618bd3bef8d63113c52f25c6f7e4f71cf03fe2e072b4	mmseqs_top1	own	4	0	0.0	0.0	False
3399fde55e26adcb6b20654d7e659129b2ede55a45b994ec6915d7777834de81	protein_cold:p1:cNone	d401bac618e9e107f3a7618bd3bef8d63113c52f25c6f7e4f71cf03fe2e072b4	esm_cosine_top1	own	14	4	0.5	0.515719633901452	True
3399fde55e26adcb6b20654d7e659129b2ede55a45b994ec6915d7777834de81	protein_cold:p1:cNone	d401bac618e9e107f3a7618bd3bef8d63113c52f25c6f7e4f71cf03fe2e072b4	mmseqs_top1	common	0	0	0.0	0.0	False
3399fde55e26adcb6b20654d7e659129b2ede55a45b994ec6915d7777834de81	protein_cold:p1:cNone	d401bac618e9e107f3a7618bd3bef8d63113c52f25c6f7e4f71cf03fe2e072b4	esm_cosine_top1	common	0	0	0.0	0.0	False
39ae61064d5a82f145381594fb3f6680d8cd6577f58ad9c94cd99f03a5d44662	protein_cold:p1:cNone	bfb84897adf63058ca583a09b506f81f0661298bffeb9fb262b62124a5591704	mmseqs_top1	own	4	0	0.0	0.0	False
39ae61064d5a82f145381594fb3f6680d8cd6577f58ad9c94cd99f03a5d44662	protein_cold:p1:cNone	bfb84897adf63058ca583a09b506f81f0661298bffeb9fb262b62124a5591704	esm_cosine_top1	own	2	0	0.0	0.0	False
39ae61064d5a82f145381594fb3f6680d8cd6577f58ad9c94cd99f03a5d44662	protein_cold:p1:cNone	bfb84897adf63058ca583a09b506f81f0661298bffeb9fb262b62124a5591704	mmseqs_top1	common	0	0	0.0	0.0	False
39ae61064d5a82f145381594fb3f6680d8cd6577f58ad9c94cd99f03a5d44662	protein_cold:p1:cNone	bfb84897adf63058ca583a09b506f81f0661298bffeb9fb262b62124a5591704	esm_cosine_top1	common	0	0	0.0	0.0	False
3f380f88a54b8c0bed83425a826405a0338d970aa6edcdd677c492b2abd70624	protein_cold:p1:cNone	bfb84897adf63058ca583a09b506f81f0661298bffeb9fb262b62124a5591704	mmseqs_top1	own	15	0	0.0	0.0	False
3f380f88a54b8c0bed83425a826405a0338d970aa6edcdd677c492b2abd70624	protein_cold:p1:cNone	bfb84897adf63058ca583a09b506f81f0661298bffeb9fb262b62124a5591704	esm_cosine_top1	own	1	0	0.0	0.0	False
3f380f88a54b8c0bed83425a826405a0338d970aa6edcdd677c492b2abd70624	protein_cold:p1:cNone	bfb84897adf63058ca583a09b506f81f0661298bffeb9fb262b62124a5591704	mmseqs_top1	common	0	0	0.0	0.0	False
3f380f88a54b8c0bed83425a826405a0338d970aa6edcdd677c492b2abd70624	protein_cold:p1:cNone	bfb84897adf63058ca583a09b506f81f0661298bffeb9fb262b62124a5591704	esm_cosine_top1	common	0	0	0.0	0.0	False
513201b5e9cd85ea1a2bf16f34b4e24f4396b3afdbe931c3ea42723a92c35334	protein_cold:p1:cNone	101f25214cc8265040d6b9b1ef88e19fa0dea19714c447c0192ea9e275fb34b3	mmseqs_top1	own	5	1	1.0	0.45666666666666667	True
513201b5e9cd85ea1a2bf16f34b4e24f4396b3afdbe931c3ea42723a92c35334	protein_cold:p1:cNone	101f25214cc8265040d6b9b1ef88e19fa0dea19714c447c0192ea9e275fb34b3	esm_cosine_top1	own	5	1	1.0	0.45666666666666667	True
